"Gene"	"Cancer"
"364"	"C4ORF22"	"ACC"
"365"	"C5AR1"	"ACC"
"366"	"C5AR2"	"ACC"
"367"	"C5ORF58"	"ACC"
"368"	"C6"	"ACC"
"369"	"C6ORF1"	"ACC"
"370"	"C6ORF106"	"ACC"
"371"	"C6ORF132"	"ACC"
"372"	"C6ORF136"	"ACC"
"373"	"C6ORF141"	"ACC"
"374"	"C6ORF15"	"ACC"
"375"	"C6ORF226"	"ACC"
"376"	"C6ORF25"	"ACC"
"377"	"C7ORF50"	"ACC"
"378"	"C7ORF72"	"ACC"
"379"	"C8ORF4"	"ACC"
"380"	"C9ORF135"	"ACC"
"381"	"C9ORF139"	"ACC"
"382"	"CA13"	"ACC"
"383"	"CA8"	"ACC"
"384"	"CAB39L"	"ACC"
"385"	"CABP4"	"ACC"
"386"	"CACNA1F"	"ACC"
"387"	"CACNA2D4"	"ACC"
"388"	"CADPS"	"ACC"
"389"	"CALCOCO2"	"ACC"
"390"	"CALCR"	"ACC"
"391"	"CALCRL"	"ACC"
"392"	"CALD1"	"ACC"
"393"	"CALHM2"	"ACC"
"394"	"CAMK2A"	"ACC"
"395"	"CAMK4"	"ACC"
"396"	"CAMP"	"ACC"
"397"	"CAP1"	"ACC"
"398"	"CAPG"	"ACC"
"399"	"CAPN11"	"ACC"
"400"	"CAPN3"	"ACC"
"401"	"CAPNS1"	"ACC"
"402"	"CAPZB"	"ACC"
"403"	"CARD11"	"ACC"
"404"	"CARD16"	"ACC"
"405"	"CARD9"	"ACC"
"406"	"CARHSP1"	"ACC"
"407"	"CARMN"	"ACC"
"408"	"CASKIN2"	"ACC"
"409"	"CASP1"	"ACC"
"410"	"CASP10"	"ACC"
"411"	"CASP4"	"ACC"
"412"	"CASP5"	"ACC"
"413"	"CASQ2"	"ACC"
"414"	"CASS4"	"ACC"
"415"	"CATSPERB"	"ACC"
"416"	"CAV1"	"ACC"
"417"	"CAV2"	"ACC"
"418"	"CBLN4"	"ACC"
"419"	"CBR3"	"ACC"
"420"	"CC2D1B"	"ACC"
"421"	"CC2D2B"	"ACC"
"422"	"CCDC102B"	"ACC"
"423"	"CCDC109B"	"ACC"
"424"	"CCDC152"	"ACC"
"425"	"CCDC153"	"ACC"
"426"	"CCDC159"	"ACC"
"427"	"CCDC190"	"ACC"
"428"	"CCDC60"	"ACC"
"429"	"CCDC67"	"ACC"
"430"	"CCDC68"	"ACC"
"431"	"CCDC80"	"ACC"
"432"	"CCDC85A"	"ACC"
"433"	"CCDC88B"	"ACC"
"434"	"CCDC88C"	"ACC"
"435"	"CCDC92"	"ACC"
"436"	"CCL11"	"ACC"
"437"	"CCL13"	"ACC"
"438"	"CCL14"	"ACC"
"439"	"CCL16"	"ACC"
"440"	"CCL17"	"ACC"
"441"	"CCL18"	"ACC"
"442"	"CCL19"	"ACC"
"443"	"CCL2"	"ACC"
"444"	"CCL20"	"ACC"
"445"	"CCL21"	"ACC"
"446"	"CCL23"	"ACC"
"447"	"CCL3"	"ACC"
"448"	"CCL3L1"	"ACC"
"449"	"CCL3L3"	"ACC"
"450"	"CCL4"	"ACC"
"451"	"CCL4L1"	"ACC"
"452"	"CCL5"	"ACC"
"453"	"CCL7"	"ACC"
"454"	"CCL8"	"ACC"
"455"	"CCM2L"	"ACC"
"456"	"CCNYL1"	"ACC"
"457"	"CCPG1"	"ACC"
"458"	"CCR1"	"ACC"
"459"	"CCR2"	"ACC"
"460"	"CCR3"	"ACC"
"461"	"CCR4"	"ACC"
"462"	"CCR5"	"ACC"
"463"	"CCR6"	"ACC"
"464"	"CCR7"	"ACC"
"465"	"CCR8"	"ACC"
"466"	"CCRL2"	"ACC"
"467"	"CD109"	"ACC"
"468"	"CD14"	"ACC"
"469"	"CD163"	"ACC"
"470"	"CD163L1"	"ACC"
"471"	"CD177"	"ACC"
"472"	"CD180"	"ACC"
"473"	"CD1A"	"ACC"
"474"	"CD1B"	"ACC"
"475"	"CD1C"	"ACC"
"476"	"CD1D"	"ACC"
"477"	"CD1E"	"ACC"
"478"	"CD2"	"ACC"
"479"	"CD200"	"ACC"
"480"	"CD200R1"	"ACC"
"481"	"CD209"	"ACC"
"482"	"CD226"	"ACC"
"483"	"CD244"	"ACC"
"484"	"CD247"	"ACC"
"485"	"CD248"	"ACC"
"486"	"CD27"	"ACC"
"487"	"CD274"	"ACC"
"488"	"CD28"	"ACC"
"489"	"CD2AP"	"ACC"
"490"	"CD300A"	"ACC"
"491"	"CD300C"	"ACC"
"492"	"CD300E"	"ACC"
"493"	"CD300LB"	"ACC"
"494"	"CD300LF"	"ACC"
"495"	"CD300LG"	"ACC"
"496"	"CD302"	"ACC"
"497"	"CD33"	"ACC"
"498"	"CD34"	"ACC"
"499"	"CD36"	"ACC"
"500"	"CD37"	"ACC"
"501"	"CD38"	"ACC"
"502"	"CD3D"	"ACC"
"503"	"CD3E"	"ACC"
"504"	"CD3G"	"ACC"
"505"	"CD4"	"ACC"
"506"	"CD40"	"ACC"
"507"	"CD40LG"	"ACC"
"508"	"CD44"	"ACC"
"509"	"CD48"	"ACC"
"510"	"CD5"	"ACC"
"511"	"CD52"	"ACC"
"512"	"CD53"	"ACC"
"513"	"CD58"	"ACC"
"514"	"CD59"	"ACC"
"515"	"CD5L"	"ACC"
"516"	"CD6"	"ACC"
"517"	"CD63"	"ACC"
"518"	"CD68"	"ACC"
"519"	"CD69"	"ACC"
"520"	"CD7"	"ACC"
"521"	"CD70"	"ACC"
"522"	"CD72"	"ACC"
"523"	"CD74"	"ACC"
"524"	"CD79A"	"ACC"
"525"	"CD79B"	"ACC"
"526"	"CD80"	"ACC"
"527"	"CD84"	"ACC"
"528"	"CD86"	"ACC"
"529"	"CD8A"	"ACC"
"530"	"CD8B"	"ACC"
"531"	"CD93"	"ACC"
"532"	"CD96"	"ACC"
"533"	"CDA"	"ACC"
"534"	"CDC37L1"	"ACC"
"535"	"CDC42EP2"	"ACC"
"536"	"CDC42EP3"	"ACC"
"537"	"CDC42EP5"	"ACC"
"538"	"CDCP1"	"ACC"
"539"	"CDH17"	"ACC"
"540"	"CDH26"	"ACC"
"541"	"CDH5"	"ACC"
"542"	"CDHR2"	"ACC"
"543"	"CDK14"	"ACC"
"544"	"CDS2"	"ACC"
"545"	"CEACAM21"	"ACC"
"546"	"CEACAM3"	"ACC"
"547"	"CEACAM4"	"ACC"
"548"	"CEBPA"	"ACC"
"549"	"CEBPB"	"ACC"
"550"	"CEBPE"	"ACC"
"551"	"CECR1"	"ACC"
"552"	"CECR6"	"ACC"
"553"	"CELF2"	"ACC"
"554"	"CEMIP"	"ACC"
"555"	"CERKL"	"ACC"
"556"	"CES1"	"ACC"
"557"	"CES1P1"	"ACC"
"558"	"CES4A"	"ACC"
"559"	"CETP"	"ACC"
"560"	"CFB"	"ACC"
"561"	"CFD"	"ACC"
"562"	"CFH"	"ACC"
"563"	"CFHR1"	"ACC"
"564"	"CFP"	"ACC"
"565"	"CH25H"	"ACC"
"566"	"CHADL"	"ACC"
"567"	"CHCHD5"	"ACC"
"568"	"CHD7"	"ACC"
"569"	"CHI3L1"	"ACC"
"570"	"CHI3L2"	"ACC"
"571"	"CHMP3"	"ACC"
"572"	"CHRDL1"	"ACC"
"573"	"CHRM1"	"ACC"
"574"	"CHRM3"	"ACC"
"575"	"CHRNA9"	"ACC"
"576"	"CHST11"	"ACC"
"577"	"CHST13"	"ACC"
"578"	"CHST15"	"ACC"
"579"	"CHST2"	"ACC"
"580"	"CHST7"	"ACC"
"581"	"CHSY3"	"ACC"
"582"	"CIITA"	"ACC"
"583"	"CISD3"	"ACC"
"584"	"CISH"	"ACC"
"585"	"CLCA2"	"ACC"
"586"	"CLCA3P"	"ACC"
"587"	"CLCF1"	"ACC"
"588"	"CLDN11"	"ACC"
"589"	"CLDN23"	"ACC"
"590"	"CLDN5"	"ACC"
"591"	"CLEC10A"	"ACC"
"592"	"CLEC11A"	"ACC"
"593"	"CLEC12A"	"ACC"
"594"	"CLEC12B"	"ACC"
"595"	"CLEC14A"	"ACC"
"596"	"CLEC17A"	"ACC"
"597"	"CLEC1A"	"ACC"
"598"	"CLEC1B"	"ACC"
"599"	"CLEC2B"	"ACC"
"600"	"CLEC3B"	"ACC"
"601"	"CLEC4A"	"ACC"
"602"	"CLEC4D"	"ACC"
"603"	"CLEC4E"	"ACC"
"604"	"CLEC4G"	"ACC"
"605"	"CLEC5A"	"ACC"
"606"	"CLEC7A"	"ACC"
"607"	"CLEC9A"	"ACC"
"608"	"CLECL1"	"ACC"
"609"	"CLIC2"	"ACC"
"610"	"CLIC3"	"ACC"
"611"	"CLIC4"	"ACC"
"612"	"CLIC5"	"ACC"
"613"	"CLP1"	"ACC"
"614"	"CLSTN2"	"ACC"
"615"	"CLVS2"	"ACC"
"616"	"CMA1"	"ACC"
"617"	"CMAHP"	"ACC"
