"Gene_Symbol"	"Cancer"
"COX7A1"	"CHOL"
"CSF1R"	"CHOL"
"CXCL12"	"CHOL"
"CXCL14"	"CHOL"
"CXCL9"	"CHOL"
"DCN"	"CHOL"
"DDR2"	"CHOL"
"DIO2"	"CHOL"
"ECM2"	"CHOL"
"EDNRA"	"CHOL"
"EGFL6"	"CHOL"
"EMCN"	"CHOL"
"ERG"	"CHOL"
"F13A1"	"CHOL"
"FAP"	"CHOL"
"FASLG"	"CHOL"
"FBLN2"	"CHOL"
"FCGR2A"	"CHOL"
"FCGR2B"	"CHOL"
"FOXF1"	"CHOL"
"FPR1"	"CHOL"
"FRZB"	"CHOL"
"GIMAP5"	"CHOL"
"GREM1"	"CHOL"
"HDC"	"CHOL"
"HEPH"	"CHOL"
"HGF"	"CHOL"
"IGF1"	"CHOL"
"IGSF6"	"CHOL"
"IL18R1"	"CHOL"
"IL1B"	"CHOL"
"ISLR"	"CHOL"
"ITGAM"	"CHOL"
"ITGBL1"	"CHOL"
"ITIH3"	"CHOL"
"ITM2A"	"CHOL"
"KCNJ8"	"CHOL"
"KDR"	"CHOL"
"LDB2"	"CHOL"
"LMOD1"	"CHOL"
"LRRC15"	"CHOL"
"LRRC32"	"CHOL"
"LUM"	"CHOL"
"LY86"	"CHOL"
"MMP3"	"CHOL"
"MS4A4A"	"CHOL"
"MS4A6A"	"CHOL"
"MSR1"	"CHOL"
"MXRA5"	"CHOL"
"OLFML1"	"CHOL"
"OLFML2B"	"CHOL"
"PAPPA"	"CHOL"
"PDE2A"	"CHOL"
"PDGFRB"	"CHOL"
"PIK3R5"	"CHOL"
"PLXNC1"	"CHOL"
"PTGER3"	"CHOL"
"PTGIS"	"CHOL"
"RAMP3"	"CHOL"
"RASGRP3"	"CHOL"
"RSAD2"	"CHOL"
"RUNX1T1"	"CHOL"
"SAMSN1"	"CHOL"
"SCUBE2"	"CHOL"
"SFRP4"	"CHOL"
"SGCD"	"CHOL"
"SH2D1A"	"CHOL"
"SIGLEC1"	"CHOL"
"SP140"	"CHOL"
"SPON1"	"CHOL"
"SULF1"	"CHOL"
"TCF21"	"CHOL"
"TFEC"	"CHOL"
"THBS2"	"CHOL"
"TLR2"	"CHOL"
"TLR7"	"CHOL"
"TRAT1"	"CHOL"
"VCAM1"	"CHOL"
"VSIG4"	"CHOL"
"WISP1"	"CHOL"
"ZEB2"	"CHOL"
"ZFPM2"	"CHOL"
"ABCA6"	"COAD"
"ACTG2"	"COAD"
"ADAM12"	"COAD"
"ADAMTS5"	"COAD"
"AIF1"	"COAD"
"AOC3"	"COAD"
"APBB1IP"	"COAD"
"ARHGAP28"	"COAD"
"ASPN"	"COAD"
"ATP8B4"	"COAD"
"BGN"	"COAD"
"BTK"	"COAD"
"C1QA"	"COAD"
"C1QB"	"COAD"
"C3AR1"	"COAD"
"CCR1"	"COAD"
"CD14"	"COAD"
"CD163"	"COAD"
"CD200"	"COAD"
"CD248"	"COAD"
"CD33"	"COAD"
"CD86"	"COAD"
"CD93"	"COAD"
"CDH5"	"COAD"
"CH25H"	"COAD"
"CILP"	"COAD"
"CLEC7A"	"COAD"
"COL10A1"	"COAD"
"COL14A1"	"COAD"
"COL15A1"	"COAD"
"COL1A2"	"COAD"
"COL3A1"	"COAD"
"COL5A3"	"COAD"
